document,label
이새끼는 근본이 안되어있어범죄자 새끼,1
개극혐이다 진짜,1
토할 것 같다..,0
"승리 비판 전혀 상관없이 , 저 댓글들만 보여주는게 과연 sbs수준을 올릴까 내릴까?",0
승리는 사람 아니다. 같이 우리나라 사회에 있어서는 안된다. 해외로 추방시켜야 한다. 양현석이 빅뱅 멤버 애초에 탈락시켰어야 했어.,0
다시 잡아쳐넣어라  정신차려라,0
승리님 잘못 없으니깐 어깨 쫙피고 다녀요 꼬치랑 명치 때리기 쉽게 ㅠㅠ,0
쓰레기들....,1
역시나 정신 못차렸네,0
불쌍한새끼 ㅉㅉㅉ,1
잘못된거없는데?? 참 뉴스거리없나보다,0
승리가 인기많다고? 최악에남자로 1위겠지요~~,0
술먹고싶어서 우째견뎠냐,0
"근데.. 승리 쉴드 칠 생각은 없는데, 그럼 우울증 있는 사람은 곧 죽을 것 같이 우울하게만 살아야 되나..",0
강철멘탈이네...대한민국에 성매매 종사자가 수만 수십만인데 그걸 이용하는 남자는 수십배는 되지 않겟냐? 다 먹고 살고 있는거 보면 아닌척 하는 넘들이 가증스러운거지,0
인간은 변함없죠. 교도소에서 변화된다는건 다 옛 말 입니다. 지금처럼 교도소에서 인권중요시 하는데 무엇이 변화되겠습니까 ㅉㅉ,0
사람  고처  쓰는것  아니다,0
걍 점마는 이제 일반인인데 뭐하러 신경씀?,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱ  승리,0
애새끼가 아직도 정신을 못차리네 ㅡㅡ,0
한국은 역시 돈이 많아야돠,0
저런애가 어떻게 벌써 출소하냐???? ㄷㄷㄷㄷ,0
빅뱅에서 수치심을 맡고 있습니다 ㅋㅋ,0
한번 더 가따와야게따..,0
너무 ,0
돈이면 다 되는구나,0
착하게 살아라 새끼야  지켜보고 있다.,1
크 저게 인생이지,0
쓰레기 새끼 아직두 인기가 많타고???,1
중국 옷이가 아니면 깃을 올린거가?,0
뭐 이리 금방 나왔어?,0
돈 많은 자에겐 승리 하는게 대한민국 법이네..,0
와 역시 돈 많이 쓰면 저정도 죄도 이리 빨리 풀려나는구나…아직도 잊혀지지가 않았는데… 개썩은 나라네,1
법이 개판......솜방망이 처벌,1
다시  재수사  해라 모범택시  김도기  기사  응징해주세요  ㅋㅋ,0
대한민국이 안되는이유,0
사람은 절대 안변한다는 말을 이천수 다음으로 승리에게...,0
감빵 갔다오고 개인적으로 친구 만나서 그럴수 있지 왜 평생 자숙하면서 죄인처럼지내야 함???,0
출소 한 사람은 술도 못 먹나? 이게 이렇게 욕먹을 짓인가?,0
약하면 승리 할 수 없어.,0
나쁜놈들 세상 돈만 있으면 살기 좋은 대한민국,1
그래.... 사람은 안 변하지,0
인간은 안변함 ㅋㅋㅋ,0
근데 얘 입장에선 이젠 더이상 추락할곳도 없으니 막사는거 아닌가싶은데ㅋㅋㅋ이미 완전 인간쓰레기로 평생 갈 낙인찍힌데다가 남은건 돈밖에 없을텐데 저런식으로 즐기기라도해야겠지 뭐ㅋ,1
역시 돈이 좋아~~,0
컴백하자,0
정신승리!,0
